X,Y,Z,Roll,Pitch,Yaw,Gripper
0.0,0.5,0.3,0.0,90.0,0.0,0.02
-0.0011741638183593306,0.4995107650756836,0.2994129180908203,0.0,89.95596918551551,-0.07827700352797251,0.08
-0.002348327636718661,0.47945205867290497,0.23659492135047913,0.0,89.91193837103103,-0.15655400705594502,0.08
-0.0035224914550779918,0.45939335227012634,0.2,0.0,89.86790755654654,-0.23483101058391753,0.08
0.23248536586761492,0.4393346458673477,0.2,0.0,89.82387674206205,15.342465722942535,0.08
0.2994129896163942,0.4192759394645691,0.2,0.0,89.77984592757757,31.859098641363232,0.08
0.36634061336517343,0.39921723306179047,0.2,0.0,89.73581511309308,48.37573155978393,0.08
0.4332682371139527,0.37915852665901184,0.2,0.0,89.6917842986086,80.70450132923389,0.08
0.4579257488250733,0.3590998202562332,0.2,0.0,89.64775348412411,100.03913673105808,0.08
0.5,0.3390411138534546,0.2,0.0,90.0,119.37377213288227,0.08
0.5,0.31898240745067596,0.2,1.4530339534610022,90.0,151.70254190233223,0.08
0.5,0.29892370104789734,0.2,0.0,90.0,170.0,0.08
0.5,0.2788649946451187,0.2,0.0,90.0,170.0,0.08
0.5,0.2588062882423401,0.2,0.0,89.95596918551551,170.0,0.08
0.5,0.23874758183956146,0.2,0.0,89.91193837103103,170.0,0.08
0.49882583618164067,0.21868887543678284,0.2,0.0,89.86790755654654,170.0,0.08
0.49765167236328134,0.2,0.2,0.0,89.82387674206205,170.0,0.08
0.5,0.2,0.2,0.0,89.77984592757757,170.0,0.08
0.5,0.2,0.2,0.0,89.73581511309308,170.0,0.08
0.5,0.2,0.2,0.0,89.6917842986086,170.0,0.08
0.5,0.2,0.2,0.0,89.64775348412411,170.0,0.08
0.5,0.2,0.2,0.0,88.89922110015137,169.92172299647203,0.08
0.5,0.2,0.2,0.0,88.15068871617862,169.84344599294405,0.08
0.5,0.2,0.2,0.0,88.10665790169413,169.76516898941608,0.08
0.49882583618164067,0.2,0.2,0.0,88.06262708720965,169.6868919858881,0.08
0.49765167236328134,0.2,0.2,0.0,88.01859627272516,169.60861498236014,0.08
0.496477508544922,0.2,0.2,0.0,87.97456545824068,169.53033797883216,0.08
0.5,0.2,0.2,0.0,87.93053464375619,169.4520609753042,0.08
0.5,0.2,0.2,0.0,87.8865038292717,169.37378397177622,0.08
0.5,0.2,0.2,0.0,87.84247301478722,169.29550696824825,0.08
0.5,0.2,0.2,0.0,87.79844220030273,169.21722996472027,0.08
0.5,0.2,0.2,0.0,87.75441138581824,169.1389529611923,0.08
0.5,0.2,0.2,0.0,87.71038057133376,169.06067595766433,0.08
0.5,0.2,0.2,0.0,87.66634975684927,168.98239895413636,0.08
0.5,0.2,0.2,0.0,87.62231894236479,168.90412195060838,0.08
0.5,0.2,0.2,0.0,87.5782881278803,168.8258449470804,0.08
0.5,0.2,0.2,0.0,87.53425731339581,168.74756794355244,0.08
0.5,0.2,0.2,0.0,87.49022649891133,168.66929094002447,0.08
0.5,0.2,0.2,0.0,87.44619568442684,168.5910139364965,0.08
