X,Y,Z,Roll,Pitch,Yaw,Gripper,Terminate,BaseDispl,BaseVertRot
-0.0011741638183593306,0.5495107650756836,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.08,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.22426614761352537,0.5984344363212586,0.39941291809082036,44.955969185515514,47.68591041940499,89.89236912014903,0.08,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.16086105108261106,0.4888453960418701,0.48277887105941775,44.955969185515514,47.59784879043601,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.17025439739227294,0.49178082048892974,0.434637975692749,47.59784879043601,47.59784879043601,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.16086105108261106,0.49178082048892974,0.39941291809082036,47.59784879043601,47.59784879043601,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.16086105108261106,0.4888453960418701,0.35244618654251103,47.59784879043601,46.71722054791522,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.560273963212967,0.35244618654251103,44.955969185515514,39.496085010189276,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.29001957178115845,0.5495107650756836,0.39941291809082036,44.955969185515514,41.34540141665254,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2031311273574829,0.49178082048892974,0.35714285969734194,44.955969185515514,41.34540141665254,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5035225033760071,0.35714285969734194,44.955969185515514,41.43346304562152,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.5495107650756836,0.35714285969734194,44.955969185515514,47.59784879043601,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.26653618812561036,0.49178082048892974,0.35714285969734194,44.955969185515514,47.59784879043601,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.49178082048892974,0.35714285969734194,44.955969185515514,41.43346304562152,76.7612515141691,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.4888453960418701,0.39941291809082036,44.955969185515514,39.496085010189276,76.7612515141691,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.49178082048892974,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.26653618812561036,0.49178082048892974,0.35362035036087036,44.955969185515514,47.86203538489022,87.7397264791027,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.49178082048892974,0.35362035036087036,44.955969185515514,47.86203538489022,55.66536114512316,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.49178082048892974,0.39941291809082036,44.955969185515514,39.496085010189276,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5495107650756836,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.49178082048892974,0.39941291809082036,44.955969185515514,39.496085010189276,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.49178082048892974,0.39941291809082036,44.955969185515514,39.496085010189276,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.49178082048892974,0.3301369845867157,44.955969185515514,39.76027331219078,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.3111545920372009,0.5495107650756836,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5201565504074097,0.39941291809082036,44.955969185515514,42.75440284808177,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5201565504074097,0.39941291809082036,44.955969185515514,41.34540141665254,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.252446186542511,0.49178082048892974,0.39941291809082036,44.955969185515514,45.92465734945799,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.252446186542511,0.4888453960418701,0.336007821559906,44.955969185515514,41.34540141665254,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.4888453960418701,0.336007821559906,44.955969185515514,41.34540141665254,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.4888453960418701,0.39941291809082036,44.955969185515514,39.496085010189276,76.7612515141691,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.49178082048892974,0.39941291809082036,44.955969185515514,41.34540141665254,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.49178082048892974,0.35362035036087036,44.955969185515514,39.496085010189276,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.511350291967392,0.35714285969734194,44.955969185515514,42.0499029861408,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.49178082048892974,0.39941291809082036,44.955969185515514,42.0499029861408,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.5035225033760071,0.39941291809082036,44.955969185515514,41.34540141665254,58.24853147957785,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.34637964963912965,0.5201565504074097,0.39941291809082036,44.955969185515514,42.75440284808177,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.30176124572753904,0.5201565504074097,0.33131114840507503,44.955969185515514,42.75440284808177,87.52446054539627,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.29706459045410155,0.5045009732246399,0.39941291809082036,44.955969185515514,42.75440284808177,83.43444119701005,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.3252445936203003,0.5201565504074097,0.39941291809082036,44.955969185515514,43.546966046539,87.52446054539627,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
