X,Y,Z,Roll,Pitch,Yaw,Gripper,Terminate,BaseDispl,BaseVertRot
-0.0011741638183593306,0.5495107650756836,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.17729941606521604,0.5495107650756836,0.39941291809082036,44.955969185515514,45.04403081448448,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.4888453960418701,0.39941291809082036,44.955969185515514,44.163405987058276,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2148728013038635,0.5015655636787415,0.39941291809082036,44.33953095254352,45.04403081448448,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5495107650756836,0.39941291809082036,44.955969185515514,43.89921768505677,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2148728013038635,0.5495107650756836,0.39941291809082036,44.955969185515514,45.83659401294172,83.8649688904184,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5162426561117173,0.39941291809082036,44.955969185515514,39.496085010189276,80.42074316914696,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2148728013038635,0.5495107650756836,0.39941291809082036,45.13209415100075,45.04403081448448,81.28179855596372,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
0.34637961387634275,0.5015655636787415,0.39941291809082036,44.955969185515514,39.58414834670555,76.7612515141691,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2148728013038635,0.5015655636787415,0.38649706244468685,44.955969185515514,46.10078402249052,81.28179855596372,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2031311273574829,0.5015655636787415,0.39941291809082036,44.955969185515514,44.955969185515514,76.54598558046267,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5162426561117173,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.5495107650756836,0.39941291809082036,44.955969185515514,45.04403081448448,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5162426561117173,0.35362035036087036,44.955969185515514,39.496085010189276,76.54598558046267,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.38630136251449587,0.5495107650756836,0.39941291809082036,44.955969185515514,41.34540141665254,41.242660458918124,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.38630136251449587,0.5495107650756836,0.3641878604888916,44.69178088351401,44.955969185515514,41.242660458918124,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.38630136251449587,0.5201565504074097,0.3442270040512085,44.955969185515514,44.955969185515514,80.20548140944504,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2031311273574829,0.5162426561117173,0.39941291809082036,44.955969185515514,44.955969185515514,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5162426561117173,0.39941291809082036,44.955969185515514,39.496085010189276,89.89236912014903,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.5495107650756836,0.39941291809082036,44.955969185515514,40.81702481264952,81.28179855596372,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
0.34637961387634275,0.5162426561117173,0.35362035036087036,44.955969185515514,39.496085010189276,79.34442184862381,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
0.19608607292175295,0.5162426561117173,0.35362035036087036,44.955969185515514,45.92465734945799,81.28179855596372,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.5495107650756836,0.35362035036087036,44.955969185515514,46.10078402249052,81.28179855596372,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.5015655636787415,0.39941291809082036,44.955969185515514,46.10078402249052,80.20548140944504,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.0011741638183593306,0.5162426561117173,0.39941291809082036,44.955969185515514,44.07534265054201,76.54598558046267,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
-0.2500978589057922,0.5495107650756836,0.39941291809082036,44.955969185515514,40.81702481264952,76.54598558046267,0.02,[0 1 0],[-0.00195694 -0.00195694],[-0.00614786]
